feature,upward_importance,downward_importance,large_abs_importance,magnitude_importance,mean_importance
da_anchor,0.04549833271582071,0.092735201071622,0.04679225924131443,0.6643027788958891,0.21233214298116154
bidding_space_forecast,0.008151167098925539,0.03125944081853678,0.017670362242425953,0.2749024173827458,0.08299584688565852
solar_forecast,0.018645082224185615,0.011844842819277801,0.0023541482600393238,0.18723893922660598,0.055020753132527175
renewable_forecast,0.013463676005358138,0.02321087582295438,0.008151167098925516,0.1493954170822234,0.048555284002365355
previous_day_solar_mean,0.013885484652435377,0.020429218798985405,0.014546698207313224,0.11754107969284637,0.04160062033789509
actual_solar_lag_24h,0.012192549947273945,0.00436058939208257,0.009051785561603997,0.0823529306444671,0.026989463886356903
previous_day_price_delta_std,0.011576937327215231,0.009587596545729205,0.014643600193803952,0.07177754092805633,0.02689641874870118
lagged_price_delta_24h,0.010072106478182819,0.008795280303246233,0.00885228147177015,0.05729103590065776,0.02125267603846424
month_sin,0.007102345598084781,0.008008664177615653,0.006509533445435612,0.05935745354982833,0.020244499192741093
month_cos,0.006720437768974285,0.009393792572747773,0.007455752842933272,0.05362154153742391,0.01929788118051981
previous_day_price_delta_mean,0.008994784393080102,0.009855502037791775,0.007592555647390764,0.04740345917355393,0.018461575312954143
previous_day_renewable_mean,0.010351412203950217,0.0077179582181434725,0.0045657935987687415,0.04791606789838212,0.017637807979811137
tie_line_forecast,0.009268390001995063,0.007928862541682102,0.005352409724399321,0.04379025287210876,0.016584978785046313
hour_sin,0.010009405192806464,0.004497392196540018,0.0037164761877618523,0.04670342993035308,0.016231675876865352
actual_wind_lag_24h,0.008219568501154306,0.005899620942229333,0.00853307492803601,0.03711489385714604,0.014941789557141422
wind_forecast,0.006805939521760207,0.005734317553509838,0.00851027446062642,0.03753989981766563,0.014647607838390524
lagged_price_delta_48h,0.007894661840567774,0.005825519423148196,0.007524154245161996,0.03519651908414685,0.014110213648256206
previous_day_wind_mean,0.008920682873998942,0.006760338586941051,0.008544475161740794,0.029924320316995545,0.013537454234919082
hour_cos,0.003180665203636712,0.003710776070909483,0.0072448485193945976,0.039917750045775025,0.013513509959928954
dow_cos,0.004366289508934984,0.004691196169521494,0.004104084133724717,0.0345800347499033,0.011935401140521124
actual_renewable_lag_24h,0.0064012312252401445,0.005722917319805077,0.006030723629834411,0.01974169335308047,0.009474141381990025
dow_sin,0.004218086470772708,0.004451791261720883,0.004907800609912472,0.02294908435524339,0.009131690674412362
period_id,0.0039900817966768585,0.0009234189300880713,0.004902100493060124,0.0014406042640568773,0.0028140513709704828
is_weekend,0.00043320888078206553,-2.8500584261959006e-05,0.0,0.00039116915649686226,0.00019896936325424218
