epoch,train_loss,train_smape,train_delta_mae,train_residual_mae,train_smoothness,val_smape_floor50,val_delta_mae,val_rt_mae,lr,epoch_time_s
1,44.02053578694662,20.021029154459637,65.4631716410319,65.46354866027832,0.04553409479558468,31.172395706176758,99.98910522460938,99.98763275146484,0.0009990143508499217,1.8
2,44.58189614613851,20.299219767252605,66.39370250701904,66.39347743988037,0.0479946859801809,31.167871475219727,99.96636199951172,99.95455932617188,0.0009960612933065818,0.5
3,44.54918829600016,20.296756903330486,66.46022923787434,66.45768324534099,0.08151703576246898,31.1577091217041,99.95722198486328,99.9212875366211,0.00099115248173898,0.5
4,44.58281930287679,20.300151030222576,66.4271052678426,66.41481812795003,0.09045072458684444,31.1617431640625,99.98739624023438,99.93415069580078,0.0009843072889837512,0.5
5,44.33589394887289,20.181201934814453,65.90820852915446,65.8827730814616,0.09459390925864379,31.14223289489746,99.95062255859375,99.8451156616211,0.0009755527298894294,0.5
6,44.25729179382324,20.195539951324463,65.85395749409993,65.83970737457275,0.10374843577543895,31.150121688842773,99.94334411621094,99.90950012207031,0.0009649233547011816,0.5
7,44.21091810862223,20.04974826176961,65.94767665863037,65.90294392903645,0.09833378841479619,31.127601623535156,99.98545837402344,99.7972412109375,0.0009524611127067769,0.5
8,44.25513140360514,20.043831030527752,66.05911318461101,65.99882348378499,0.1070816411326329,31.1433162689209,99.96566772460938,99.89031982421875,0.0009382151866819099,0.5
9,43.940818786621094,19.98615010579427,65.46317386627197,65.38963476816814,0.09871909767389297,31.113325119018555,99.99899291992188,99.74580383300781,0.0009222417987882566,0.6
10,44.001362800598145,20.027167320251465,65.5319922765096,65.43629932403564,0.10490422882139683,31.120441436767578,99.97213745117188,99.79582977294922,0.0009046039886902864,0.6
11,43.939677238464355,19.949650446573894,65.51107215881348,65.40268007914226,0.09640364286800225,31.119352340698242,99.99031829833984,99.77403259277344,0.0008853713647665069,0.5
12,44.140579541524254,20.0391526222229,65.77731323242188,65.66416358947754,0.09370092799266179,31.114906311035156,99.9609146118164,99.75027465820312,0.0008646198293969952,0.5
13,44.20273939768473,20.075965722401936,65.86783790588379,65.7686866124471,0.10313102851311366,31.112152099609375,99.96849822998047,99.71173095703125,0.0008424312794113801,0.5
14,44.54527632395426,20.27895959218343,66.2959852218628,66.18923664093018,0.09756873734295368,31.114784240722656,99.96537780761719,99.72530364990234,0.0008188932828794706,0.6
15,44.23045984903971,20.119661966959637,65.90875085194905,65.7868111928304,0.09031273983418941,31.128156661987305,99.95404052734375,99.76800537109375,0.0007940987335200906,0.5
16,44.22566032409668,20.08236074447632,65.93410142262776,65.80937608083089,0.10970820548633735,31.143693923950195,99.97246551513672,99.80528259277344,0.0007681454840920089,0.6
17,44.58832613627116,20.236850420633953,66.49258454640706,66.38108889261882,0.10439941473305225,31.130680084228516,99.94971466064453,99.75215911865234,0.0007411359602138069,0.5
18,44.01760228474935,19.996127446492512,65.5731185277303,65.43879667917888,0.1086034458130598,31.153331756591797,99.9729995727539,99.84410858154297,0.0007131767561367538,0.6
19,44.320526123046875,20.19237486521403,65.99855836232503,65.86408265431722,0.09552603463331859,31.12398910522461,99.97174835205078,99.71173095703125,0.0006843782140659967,0.5
20,44.117703119913735,20.06974172592163,65.85331567128499,65.70700327555339,0.09849387841920058,31.142717361450195,99.95988464355469,99.75299072265625,0.0006548539886902863,0.6
