direction,bucket_lo,bucket_hi,bucket_pred_mean,bucket_actual_rate,bucket_count,calibration_error
upward,0.0,0.1,0.03080128162873706,0.10088495575221239,565,0.07008367412347533
upward,0.1,0.2,0.13837486167203966,0.25,64,0.11162513832796034
upward,0.2,0.30000000000000004,0.2408147513896257,0.2608695652173913,23,0.02005481382776561
upward,0.30000000000000004,0.4,0.3507914830360022,0.16666666666666666,6,0.18412481636933556
upward,0.4,0.5,0.45189778427651145,0.42857142857142855,7,0.023326355705082902
upward,0.5,0.6000000000000001,0.5408691756925134,0.0,3,0.5408691756925134
upward,0.6000000000000001,0.7000000000000001,0.6220025487595693,0.5,2,0.12200254875956928
upward,0.7000000000000001,0.8,0.7361513827694317,0.5,2,0.2361513827694317
upward,0.8,0.9,0.8500000000000001,0.0,0,0.8500000000000001
upward,0.9,1.0,0.95,0.0,0,0.95
downward,0.0,0.1,0.019896183457605018,0.0488997555012225,409,0.02900357204361748
downward,0.1,0.2,0.14422850733983475,0.2571428571428571,70,0.11291434980302237
downward,0.2,0.30000000000000004,0.2491525919066748,0.17543859649122806,57,0.07371399541544674
downward,0.30000000000000004,0.4,0.3502867097416319,0.38181818181818183,55,0.03153147207654994
downward,0.4,0.5,0.44033689196249104,0.4594594594594595,37,0.019122567496968446
downward,0.5,0.6000000000000001,0.5521529445520399,0.5,16,0.05215294455203989
downward,0.6000000000000001,0.7000000000000001,0.6535801166226411,0.35294117647058826,17,0.3006389401520529
downward,0.7000000000000001,0.8,0.7410370883226284,0.3333333333333333,3,0.40770375498929506
downward,0.8,0.9,0.8496712467930241,0.4,5,0.44967124679302406
downward,0.9,1.0,0.93095950623599,0.3333333333333333,3,0.5976261729026566
large_abs,0.0,0.1,0.03548433577989364,0.06666666666666667,405,0.031182330886773024
large_abs,0.1,0.2,0.14520206570968294,0.20353982300884957,113,0.058337757299166626
large_abs,0.2,0.30000000000000004,0.239439232727347,0.3235294117647059,68,0.08409017903735891
large_abs,0.30000000000000004,0.4,0.3428349145077731,0.46153846153846156,26,0.11870354703068847
large_abs,0.4,0.5,0.44207757405495673,0.5,22,0.057922425945043265
large_abs,0.5,0.6000000000000001,0.5497189090117521,0.375,16,0.17471890901175213
large_abs,0.6000000000000001,0.7000000000000001,0.6369851866526064,0.6428571428571429,14,0.00587195620453651
large_abs,0.7000000000000001,0.8,0.7283324659744276,0.8333333333333334,6,0.10500086735890579
large_abs,0.8,0.9,0.8224208952980663,0.5,2,0.3224208952980663
large_abs,0.9,1.0,0.95,0.0,0,0.95
