direction,topk_pct,k,capture_rate,lift_vs_random,precision_at_k,recall_at_k
upward,1,6,0.023529411764705882,2.3529411764705883,0.3333333333333333,0.023529411764705882
upward,3,20,0.07058823529411765,2.3529411764705883,0.3,0.07058823529411765
upward,5,33,0.09411764705882353,1.8823529411764706,0.24242424242424243,0.09411764705882353
upward,10,67,0.17647058823529413,1.7647058823529411,0.22388059701492538,0.17647058823529413
upward,20,134,0.4235294117647059,2.1176470588235294,0.26865671641791045,0.4235294117647059
downward,1,6,0.028846153846153848,2.8846153846153846,0.5,0.028846153846153848
downward,3,20,0.057692307692307696,1.9230769230769234,0.3,0.057692307692307696
downward,5,33,0.11538461538461539,2.3076923076923075,0.36363636363636365,0.11538461538461539
downward,10,67,0.25961538461538464,2.5961538461538463,0.40298507462686567,0.25961538461538464
downward,20,134,0.5384615384615384,2.692307692307692,0.417910447761194,0.5384615384615384
large_abs,1,6,0.034482758620689655,3.4482758620689653,0.6666666666666666,0.034482758620689655
large_abs,3,20,0.12931034482758622,4.310344827586207,0.75,0.12931034482758622
large_abs,5,33,0.1724137931034483,3.4482758620689657,0.6060606060606061,0.1724137931034483
large_abs,10,67,0.3017241379310345,3.0172413793103448,0.5223880597014925,0.3017241379310345
large_abs,20,134,0.5172413793103449,2.586206896551724,0.44776119402985076,0.5172413793103449
